facility_id,timestamp,electricity_kwh
F-0000,2016-01-01,1048.4136
F-0000,2016-01-02,1048.4136
F-0000,2016-01-03,1048.4136
F-0000,2016-01-04,1048.4136
F-0000,2016-01-05,1048.4136
F-0000,2016-01-06,1048.4136
F-0000,2016-01-07,1048.4136
F-0000,2016-01-08,1048.4136
F-0000,2016-01-09,1048.4136
F-0000,2016-01-10,1048.4136
F-0000,2016-01-11,1048.4136
F-0000,2016-01-12,1048.4136
F-0000,2016-01-13,1048.4136
F-0000,2016-01-14,1048.4136
F-0000,2016-01-15,1048.4136
F-0000,2016-01-16,1048.4136
F-0000,2016-01-17,1048.4136
F-0000,2016-01-18,1048.4136
F-0000,2016-01-19,1048.4136
F-0000,2016-01-20,1048.4136
F-0000,2016-01-21,1048.4136
F-0000,2016-01-22,1048.4136
F-0000,2016-01-23,1048.4136
F-0000,2016-01-24,1048.4136
F-0000,2016-01-25,1048.4136
F-0000,2016-01-26,1048.4136
F-0000,2016-01-27,1048.4136
F-0000,2016-01-28,1048.4136
F-0000,2016-01-29,1048.4136
F-0000,2016-01-30,1013.3101
F-0000,2016-01-31,1093.1588
F-0000,2016-02-01,1263.2307
F-0000,2016-02-02,1265.6443
F-0000,2016-02-03,1268.0577
F-0000,2016-02-04,1270.4712
F-0000,2016-02-05,1272.8846
F-0000,2016-02-06,1275.2981
F-0000,2016-02-07,1277.7115
F-0000,2016-02-08,1280.125
F-0000,2016-02-09,1282.5386
F-0000,2016-02-10,1284.952
F-0000,2016-02-11,1287.3655
F-0000,2016-02-12,1289.7789
F-0000,2016-02-13,1292.1924
F-0000,2016-02-14,1294.6058
F-0000,2016-02-15,1297.0194
F-0000,2016-02-16,1299.4329
F-0000,2016-02-17,1301.8463
F-0000,2016-02-18,1304.2598
F-0000,2016-02-19,1306.6732
F-0000,2016-02-20,1309.0867
F-0000,2016-02-21,1311.5002
F-0000,2016-02-22,1313.9137
F-0000,2016-02-23,1316.3271
F-0000,2016-02-24,1318.7406
F-0000,2016-02-25,1321.154
F-0000,2016-02-26,1323.5676
F-0000,2016-02-27,1325.9811
F-0000,2016-02-28,1328.3945
F-0000,2016-02-29,1330.808
F-0000,2016-03-01,1333.2214
F-0000,2016-03-02,1335.6349
F-0000,2016-03-03,1338.0485
F-0000,2016-03-04,1340.4619
F-0000,2016-03-05,1342.8754
F-0000,2016-03-06,1345.2888
F-0000,2016-03-07,1347.7023
F-0000,2016-03-08,1350.1157
F-0000,2016-03-09,1352.5293
F-0000,2016-03-10,1354.9427
F-0000,2016-03-11,1357.3562
F-0000,2016-03-12,1359.7697
F-0000,2016-03-13,1362.1831
F-0000,2016-03-14,1364.5967
F-0000,2016-03-15,1367.0101
F-0000,2016-03-16,1369.4236
F-0000,2016-03-17,1371.837
F-0000,2016-03-18,1374.2505
F-0000,2016-03-19,1376.664
