facility_id,facility_type,total_area_sqft,total_floors
F-0000,Education,7432,4
F-0001,Education,2720,4
F-0002,Education,5376,4
F-0003,Education,23685,4
F-0004,Education,116607,4
F-0005,Education,8000,4
F-0006,Lodging/residential,27926,7
F-0007,Education,121074,4
F-0008,Education,60809,4
F-0009,Office,27000,2
F-0010,Entertainment/public assembly,370773,1
F-0011,Education,49073,4
F-0012,Lodging/residential,37100,7
F-0013,Education,99380,4
F-0014,Education,86250,4
F-0015,Office,83957,2
F-0016,Education,54644,4
F-0017,Office,15250,2
F-0018,Education,111891,4
F-0019,Office,18717,2
F-0020,Education,110272,4
F-0021,Office,7043,2
F-0022,Education,3569,4
F-0023,Education,130885,4
F-0024,Education,105545,4
F-0025,Office,103286,2
F-0026,Office,26953,2
F-0027,Lodging/residential,59200,7
F-0028,Office,52957,2
F-0029,Education,113866,4
F-0030,Education,93897,4
F-0031,Education,61904,4
F-0032,Office,48392,2
F-0033,Lodging/residential,38686,7
F-0034,Lodging/residential,42731,7
F-0035,Lodging/residential,41617,7
F-0036,Lodging/residential,53130,7
F-0037,Lodging/residential,53130,7
F-0038,Office,12769,2
F-0039,Office,64619,2
F-0040,Entertainment/public assembly,26944,1
F-0041,Office,93860,2
F-0042,Other,226506,1
F-0043,Retail,59071,1
F-0044,Retail,283,1
F-0045,Retail,15304,1
F-0046,Retail,9045,1
F-0047,Retail,31666,1
F-0048,Other,9569,1
F-0049,Lodging/residential,24456,7
F-0050,Other,4698,1
F-0051,Parking,387638,2
F-0052,Education,106523,4
F-0053,Office,87742,2
F-0054,Education,7867,4
F-0055,Office,16726,2
F-0056,Lodging/residential,60088,7
F-0057,Lodging/residential,65359,7
F-0058,Lodging/residential,83379,7
F-0059,Entertainment/public assembly,81337,1
F-0060,Education,81576,4
F-0061,Lodging/residential,38686,7
F-0062,Lodging/residential,42731,7
F-0063,Lodging/residential,41617,7
F-0064,Lodging/residential,53130,7
F-0065,Lodging/residential,53130,7
F-0066,Lodging/residential,37241,7
F-0067,Lodging/residential,24456,7
F-0068,Parking,487433,2
F-0069,Parking,387638,2
F-0070,Parking,387638,2
F-0071,Parking,387638,2
F-0072,Parking,387638,2
F-0073,Parking,387638,2
F-0074,Parking,387638,2
F-0075,Education,80942,4
F-0076,Education,128887,4
F-0077,Lodging/residential,24456,7
F-0078,Education,76257,4
F-0079,Office,36240,2
F-0080,Office,156111,2
F-0081,Other,3025,1
F-0082,Office,10743,2
F-0083,Other,2070,1
F-0084,Office,4038,2
F-0085,Lodging/residential,37241,7
F-0086,Education,10932,4
F-0087,Entertainment/public assembly,6412,1
F-0088,Entertainment/public assembly,76527,1
F-0089,Retail,161755,1
F-0090,Lodging/residential,59200,7
F-0091,Education,68094,4
F-0092,Office,10779,2
F-0093,Office,33370,2
F-0094,Education,29469,4
F-0095,Lodging/residential,200933,7
F-0096,Lodging/residential,200933,7
F-0097,Lodging/residential,187647,7
F-0098,Lodging/residential,200933,7
F-0099,Office,2260,2
F-0100,Lodging/residential,24456,7
F-0101,Office,18860,2
F-0102,Office,15876,2
F-0103,Education,21657,4
F-0104,Office,45330,2
F-0105,Education,50623,5
F-0106,Education,5374,4
F-0107,Education,97532,10
F-0108,Education,81580,5
F-0109,Education,56995,6
F-0110,Education,27814,8
F-0111,Education,118338,7
F-0112,Education,32206,6
F-0113,Education,100481,9
F-0114,Education,139683,13
F-0115,Education,129716,6
F-0116,Education,37265,5
F-0117,Education,15489,4
F-0118,Education,138316,8
F-0119,Education,91149,7
F-0120,Education,68211,7
F-0121,Education,150318,9
F-0122,Education,83043,6
F-0123,Education,61204,6
F-0124,Education,38319,6
F-0125,Education,16802,6
F-0126,Education,21539,5
F-0127,Lodging/residential,27071,6
F-0128,Lodging/residential,102774,7
F-0129,Lodging/residential,102957,7
F-0130,Lodging/residential,62893,16
F-0131,Lodging/residential,66661,7
F-0132,Lodging/residential,83108,8
F-0133,Lodging/residential,64723,8
F-0134,Lodging/residential,49589,8
F-0135,Lodging/residential,66532,10
F-0136,Lodging/residential,56467,9
F-0137,Entertainment/public assembly,64024,6
F-0138,Public services,118231,6
F-0139,Public services,56629,6
F-0140,Office,50020,11
F-0141,Office,44789,5
F-0142,Office,45348,4
F-0143,Office,40085,4
F-0144,Office,57673,5
F-0145,Office,14219,4
F-0146,Office,31614,8
F-0147,Office,82548,7
F-0148,Office,174601,12
F-0149,Office,81881,8
F-0150,Office,65657,8
F-0151,Office,30495,8
F-0152,Office,10301,2
F-0153,Office,16092,3
F-0154,Office,34455,8
F-0155,Office,51688,8
F-0156,Public services,43681,1
F-0157,Office,5258,2
F-0158,Office,10135,2
F-0159,Education,9788,4
F-0160,Entertainment/public assembly,15786,1
F-0161,Education,11329,4
F-0162,Education,98829,4
F-0163,Education,72102,4
F-0164,Warehouse/storage,12908,1
F-0165,Warehouse/storage,3877,1
F-0166,Lodging/residential,553210,7
F-0167,Lodging/residential,86323,7
F-0168,Education,183460,4
F-0169,Education,179559,4
F-0170,Retail,45224,1
F-0171,Office,131797,2
F-0172,Office,121440,2
F-0173,Education,90903,4
F-0174,Education,90900,4
F-0175,Education,111635,4
F-0176,Education,62238,4
F-0177,Entertainment/public assembly,167066,1
F-0178,Office,23392,2
F-0179,Food sales and service,24867,1
F-0180,Education,24586,4
F-0181,Education,148829,4
F-0182,Entertainment/public assembly,1022,1
F-0183,Education,132518,4
F-0184,Education,34171,4
F-0185,Education,84300,4
F-0186,Religious worship,1629,1
F-0187,Education,44203,4
F-0188,Office,23549,2
F-0189,Education,7481,4
F-0190,Education,137040,4
F-0191,Education,78268,4
F-0192,Education,151637,4
F-0193,Office,6203,2
F-0194,Office,155682,2
F-0195,Office,9703,2
F-0196,Entertainment/public assembly,40531,1
F-0197,Public services,102856,1
F-0198,Office,163959,2
F-0199,Parking,405083,2
F-0200,Entertainment/public assembly,143093,1
F-0201,Education,219608,4
F-0202,Lodging/residential,74682,7
F-0203,Lodging/residential,63348,7
F-0204,Lodging/residential,30949,7
F-0205,Lodging/residential,60086,7
F-0206,Public services,345837,1
F-0207,Public services,99700,1
F-0208,Healthcare,36904,1
F-0209,Education,193294,4
F-0210,Education,71248,4
F-0211,Education,48411,4
F-0212,Education,327256,4
F-0213,Education,49662,4
F-0214,Education,91273,4
F-0215,Lodging/residential,36406,7
F-0216,Education,137065,4
F-0217,Education,282946,4
F-0218,Public services,16411,1
F-0219,Education,96124,4
F-0220,Education,122592,4
F-0221,Education,204349,4
F-0222,Entertainment/public assembly,11935,1
F-0223,Education,261188,4
F-0224,Education,272278,4
F-0225,Lodging/residential,216526,7
F-0226,Office,74180,2
F-0227,Entertainment/public assembly,17132,1
F-0228,Lodging/residential,49108,7
F-0229,Education,140092,4
F-0230,Education,10334,4
F-0231,Education,33739,4
F-0232,Entertainment/public assembly,24345,1
F-0233,Education,25139,4
F-0234,Education,179167,4
F-0235,Education,9309,4
F-0236,Entertainment/public assembly,144086,1
F-0237,Public services,101262,1
F-0238,Office,45017,2
F-0239,Lodging/residential,106440,7
F-0240,Lodging/residential,111304,7
F-0241,Entertainment/public assembly,51999,1
F-0242,Parking,157113,2
F-0243,Parking,557217,2
F-0244,Education,95717,4
F-0245,Education,88486,4
F-0246,Office,202435,2
F-0247,Education,64560,4
F-0248,Education,24643,4
F-0249,Entertainment/public assembly,179449,1
F-0250,Education,131710,4
F-0251,Education,12773,4
F-0252,Education,4314,4
F-0253,Education,65907,4
F-0254,Entertainment/public assembly,254766,1
F-0255,Education,49078,4
F-0256,Education,16744,4
F-0257,Education,75650,4
F-0258,Education,71224,4
F-0259,Education,77469,4
F-0260,Education,126985,4
F-0261,Education,89770,4
F-0262,Entertainment/public assembly,20804,1
